,Номер УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Беглов Александр Дмитриевич,Тихонова Надежда Геннадьевна,процент за Амосов Михаил Иванович,процент за Беглов Александр Дмитриевич,процент за Тихонова Надежда Геннадьевна
0,901,1145,1000,218,5,777,5,218,2,221,0,0,19,163,39,8.5,73.0,17.4
1,902,2041,1500,528,12,960,12,528,9,531,0,0,56,358,117,10.3,66.3,21.6
2,903,2378,2000,601,40,1359,40,601,22,619,0,0,105,394,120,16.3,61.4,18.7
3,904,2354,2000,623,13,1364,13,623,33,603,0,0,96,390,117,15.0,61.3,18.4
4,905,2708,2500,700,36,1764,36,700,23,713,0,0,117,417,179,15.9,56.6,24.3
5,906,1885,1500,621,60,819,60,561,12,609,0,0,104,372,133,16.7,59.9,21.4
6,907,2075,1500,600,72,828,72,600,5,667,0,0,94,453,120,13.9,67.4,17.8
7,908,1560,1000,432,83,485,83,432,8,507,0,0,62,357,88,12.0,69.3,17.0
8,909,2168,1500,690,54,756,54,690,30,714,0,0,122,421,171,16.4,56.5,22.9
9,910,1685,1000,426,18,556,18,425,9,434,0,0,71,278,85,16.0,62.7,19.1
10,911,1644,1000,465,102,433,102,465,5,562,0,0,69,382,111,12.1,67.3,19.5
11,912,1707,1000,498,40,462,40,498,12,526,0,0,71,360,95,13.2,66.9,17.6
12,913,1930,1500,543,39,918,39,543,15,567,0,0,80,358,129,13.7,61.5,22.1
13,914,1722,1500,490,17,993,17,490,11,496,0,0,66,318,112,13.0,62.7,22.0
14,915,1957,1500,586,53,861,53,586,11,628,0,0,91,402,135,14.2,62.9,21.1
15,916,1498,1000,413,24,563,24,412,14,422,0,0,62,292,68,14.2,66.9,15.6
16,917,1623,1000,497,70,433,70,496,14,552,0,0,90,370,92,15.9,65.3,16.2
17,918,1684,1500,446,49,1005,49,446,16,479,0,0,81,306,92,16.3,61.8,18.5
18,919,1770,1500,651,73,776,73,650,14,709,0,0,116,474,119,16.0,65.5,16.4
19,920,1880,1500,510,86,904,85,503,11,577,0,0,94,352,131,15.9,59.8,22.2
20,921,1918,1500,640,48,812,48,640,25,663,0,0,127,402,134,18.4,58.4,19.4
21,922,2168,1500,494,43,963,43,494,15,522,0,0,83,329,110,15.4,61.2,20.4
22,923,2094,1500,546,6,948,6,544,17,533,0,0,105,333,95,19.0,60.5,17.2
23,924,1951,1500,531,14,955,14,530,13,531,0,0,107,327,97,19.6,60.1,17.8
24,925,2492,2000,772,19,1209,19,772,21,770,0,0,176,415,179,22.2,52.4,22.6
25,926,2025,1500,671,22,807,22,670,13,679,0,0,148,413,118,21.3,59.6,17.0
26,927,1919,1500,524,8,968,8,524,17,515,0,0,108,286,121,20.3,53.7,22.7
27,928,1761,1500,467,5,1028,5,466,19,452,0,0,96,267,89,20.3,56.6,18.9
28,929,1972,1500,504,9,987,9,504,15,498,0,0,82,313,103,15.9,61.0,20.0
29,930,1867,1500,499,60,941,60,499,20,539,0,0,105,334,100,18.7,59.7,17.8
30,931,2002,1500,677,12,811,12,674,25,661,0,0,116,418,127,16.9,60.9,18.5
31,932,1870,1500,611,8,881,8,611,21,598,0,0,93,380,125,15.0,61.3,20.1
32,933,2037,1500,551,22,927,22,551,14,559,0,0,92,358,109,16.0,62.4,19.0
33,934,1905,1500,480,17,1003,17,480,15,482,0,0,60,332,90,12.0,66.8,18.1
34,935,1861,1500,458,10,1032,10,456,11,455,0,0,74,292,89,15.8,62.6,19.1
35,936,1949,1500,625,19,856,19,625,24,620,0,0,81,398,141,12.5,61.8,21.8
36,937,2178,1500,649,14,837,14,649,23,640,0,0,110,437,93,16.5,65.9,14.0
37,938,1905,1500,481,37,982,37,481,17,501,0,0,53,335,113,10.2,64.6,21.8
38,939,2419,2000,586,12,1402,12,586,26,572,0,0,66,384,122,11.0,64.2,20.4
39,940,2075,2000,840,16,1144,16,839,80,775,0,0,121,479,175,14.1,56.0,20.4
40,941,2455,2000,750,12,1238,12,749,21,740,0,0,159,439,142,20.8,57.6,18.6
41,942,1519,1000,431,10,559,10,431,13,428,0,0,91,257,80,20.6,58.2,18.1
42,943,2036,1500,576,9,915,9,576,16,569,0,0,147,310,112,25.1,52.9,19.1
43,944,2419,2000,785,24,1191,24,784,14,794,0,0,174,465,155,21.5,57.5,19.1
44,945,2219,2000,761,9,1230,9,760,36,733,0,0,170,373,190,22.1,48.5,24.7
45,946,1565,1000,408,8,584,8,407,12,403,0,0,108,204,91,26.0,49.1,21.9
46,947,1580,1000,427,3,570,3,427,6,424,0,0,129,224,71,30.0,52.0,16.5
